Incident_ID,Sources,Number_News,Media_Attention,Reliability,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Active_Shooter_FBI
20211216NYPSB,https://bronx.news12.com/nypd-shots-fired-outside-of-p-s-26-in-brooklyn-no-injuries-reported,1,Local,3,16/12/2021,Winter,P.S. 026 Jesse Owens,Brooklyn,NY,Elementary,Front of School,Outside on School Property,Yes,Morning Classes,08:55:00,Shots fired in front of school,An adult male fired multiple shots in front of the school and then fled the area. No students or staff were injured or involved.,null,null,No,No,No,No,No,No,null,No,null,No
20211109NMMEL,https://www.lcsun-news.com/story/news/crime/2021/11/09/lcpd-avoid-almendra-and-lohman-due-police-related-incident/6352372001/ https://kvia.com/news/crime/2021/11/09/police-say-man-fatally-shot-self-after-crashing-las-cruces-officers-stolen-car-into-school/,5,Local,4,09/11/2021,Fall,Mesilla Valley Leadership Academy,Las Cruces,NM,null,Beside Building,Outside on School Property,Yes,Morning Classes,08:00:00,SWAT standoff after man crashed stolen police car into school,"A man with a knife stole an unmarked police car at the scene of a traffic stop. During a police pursuit, he crashed through a fence and into the side of the school building. School was in session and went on lockdown. The man stayed inside the vehicle and fatally shot himself after a 3.5 hour standoff with police. ",Hostage/Standoff,Neither,No,No,No,No,No,No,No,No,1,No
20211013ILMCC,https://wgntv.com/news/chicagocrime/separate-shooting-incidents-outside-cps-schools-has-parents-on-edge/,5,Local,4,13/10/2021,Fall,McDade Classical Elementary School,Chicago,IL,Elementary,Front of School,Outside on School Property,Yes,School Start,08:39:00,"28 shots fired from a vehicle, multiple bullets hit school building","As the school was opening, 28 shots were fired from a passing vehicle and multiple bullets hit the school building. Multiple bullets hit the cafeteria windows. School was locked down. No injuries to students or staff.",Drive-by Shooting,Random Shooting,null,No,No,No,No,No,null,No,28,No
20211013PACHD,https://www.pennlive.com/news/2021/10/pa-elementary-school-students-suspended-after-firing-air-soft-gun-at-other-children-report.html https://6abc.com/upper-darby-school-district-delaware-county-schools-students-pellet-gun/11126426/,2,Local,4,13/10/2021,Fall,Charles Kelly Elementary,Drexel Hill,PA,Elementary,School Bus,School Bus,Yes,School Start,08:00:00,Two students shot 4 classmates with pellet gun,"A 4th grade student with a pellet gun shot 3 students at the bus stop with a pellet gun. The students all got on the school bus and the student fired at a 4th victim. The student then passed the pellet gun to a 2nd student who fired at the 4th victim again. The bus driver was notified about the weapon, took it away, and drove to the school. Police and parents were notified. Both students who fired the gun were suspended. ",Indiscriminate Shooting,Both,Yes,No,No,No,No,No,No,No,null,No
20211011ORROP,https://www.koin.com/news/crime/student-shot-near-school-in-gresham-police-investigating/ https://www.koin.com/news/crime/student-shot-near-school-in-gresham-police-investigating/,2,Local,3,11/10/2021,Fall,Rosemary Anderson High School,Portland,OR,High,Off School Property,Off School Property,Yes,Morning Classes,09:00:00,"Teen student was shot at shopping center, to school for assistance",A teen student was shot at the shopping center across from the school. Ran to the school for assistance. School staff called 911 and student was transported to the hospital. ,null,null,No,No,No,No,No,No,null,No,null,No
20210922NYSOB,https://newyork.cbslocal.com/2021/09/22/teen-shot-near-brooklyn-schools/,1,Local,3,22/09/2021,Fall,South Shore High School,Brooklyn,NY,High,Front of School,Outside on School Property,Yes,School Start,08:45:00,"Teen shot outside school, ran inside for help",A 17-year-old teen was shot outside of the school. He ran into the building for help. Shooter fled. Police responded to the school and victim was transported to the hospital.,null,null,No,No,No,No,No,No,null,No,null,No
20210914MOMCH,https://www.ksdk.com/article/news/local/hazelwood-parents-bring-gun-school/63-858a7bac-0311-4c92-8471-c2770c2c7716,1,Local,3,14/09/2021,Fall,McNair Elementary School,Hazelwood,MO,Elementary,Parking Lot,Outside on School Property,Yes,School Start,08:45:00,Two parents brandished handguns during an argument in the drop-off line,Two mothers each pulled handguns during a argument in the drop off line of the elementary school. School officials were able to defuse the situation and both parents left the area. Police were notified afterwards and charges are pending.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,0,No
20210903CAMTH,https://www.kron4.com/news/bay-area/16-year-old-student-arrested-for-shooting-near-hayward-high-school-police/ https://www.sfchronicle.com/bayarea/article/Mt-Eden-High-School-student-arrested-in-Hayward-16435234.php https://www.kron4.com/news/bay-area/16-year-old-student-arrested-for-shooting-near-hayward-high-school-police/,2,Local,4,03/09/2021,Fall,Mt. Eden High School,Hayward,CA,High,Front of School,Outside on School Property,Yes,School Start,09:00:00,"Teen fired shots a vehicle on campus, fled, and then attempted to re-enter school with handgun","A 16-year-old student fired shots at a vehicle on the school campus and then fled the area. The school was notified and given description of the shooter. A few minutes later, the shooter was spotted on campus and arrested with a handgun.",null,Victims Targeted,No,No,No,No,No,No,null,No,null,No
20210902ARLIL,https://arktimes.com/arkansas-blog/2021/09/02/a-gun-brandished-at-little-rock-central-high-this-morning-but-no-shots-fired,1,Local,4,02/09/2021,Fall,Little Rock Central High School,Little Rock,AR,High,Front of School,Outside on School Property,Yes,School Start,08:00:00,Parent of student brandished gun during fight in front of school,Parent pulled a gun during a large fight between multiple students in front of the school. The SRO quickly responded and took the parent into custody. School was not locked down. Parent charged with multiple felonies. ,Escalation of Dispute,Neither,No,No,No,No,No,No,No,No,0,No
20210628CASLF,https://www.yourcentralvalley.com/news/local-news/driver-crashes-into-central-fresno-school-fence-after-being-shot-police-say/,3,Local,4,28/06/2021,Summer,Slater Elementary School,Fresno,CA,Elementary,Field (General),Outside on School Property,No,Not a School Day,09:00:00,Shot fired at vehicle that crashed through fence onto school property,Shot were fired by the occupants of one vehicle at another vehicle that crashed into the fence and onto school property. Driver of the crashed vehicle was shot and fled across the school grounds. He was picked up and driven to a local hospital. Police recovered shell casings near the crashed vehicle. No students or staff were injured. School closed for summer break.,Drive-by Shooting,Victims Targeted,null,No,No,No,No,No,null,No,null,No
20210613PAPAC,https://www.wgal.com/article/man-found-shot-in-columbia/36709512,1,Local,3,13/06/2021,Summer,Park Elementary School,Columbia,PA,Elementary,Parking Lot,Outside on School Property,No,Not a School Day,08:00:00,Elderly man shot himself in the school parking lot,A 78-year-old man was found in the school parking lot with a self-inflicted gunshot wound to the chest. He was transported in critical condition. No students or staff were present.,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,No,No,1,null
20210505SCWAW,https://www.wyff4.com/article/student-dies-after-shooting-himself-in-ware-shoals-high-school-parking-lot/36341438# https://www.foxcarolina.com/update-on-student-who-shot-themselves-at-ware-shoals-high-school/video_6e9f8fe3-a145-5e14-8ba2-8c6ede8871ae.html https://www.foxcarolina.com/news/greenwood-co-high-school-on-lockdown-for-shooting/article_004aee4a-ada0-11eb-a1c9-cb163d9b6810.html?block_id=685196 https://www.foxcarolina.com/4-00pm-news-update/video_97bbf1da-2386-5c5c-aaa1-2a7fbcb0009b.html?block_id=996030,10,Regional,4,05/05/2021,Spring,Ware Shoals High School,Ware Shoals,SC,High,Parking Lot,Outside on School Property,Yes,School Start,08:05:00,Student got out of his car with a handgun and then shot himself in the head,"A student and his friend (also a student) were sit inside his car in the school parking lot. The school safety officer noticed them and told them to go inside because class had started. The safety officer noticed a vaping device in the car that he confiscated. When the student got out of the car, the safety officer noticed a gun in his waistband. The student then ran up a hill and shot himself in the head. The principal and two students witnessed the shooting. ",Suicide/Attempted,null,No,No,No,No,null,No,No,null,1,No
20210426MNPLP,https://kstp.com/news/plymouth-middle-school-on-lockdown-students-safe-after-serious-incident-under-investigation/6086786/ https://abcnews.go.com/US/shots-fired-inside-minnesota-middle-school-hurt-police/story?id=77321095 https://kstp.com/news/father-of-student-who-fired-gun-inside-plymouth-middle-school-offers-apologies/6087489/ https://www.startribune.com/plymouth-6th-grader-fires-gun-in-school-dad-says-boy-took-gun-from-home/600050309/?refresh=true,50,National,4,26/04/2021,Spring,Plymouth Middle School,Plymouth,MN,Middle,Hallway,Inside School Building,Yes,Morning Classes,08:44:00,Student fired multiple shots in the school hallway attempting suicide by cop,"A 12-year-old student fired multiple shots into the ceiling the hallway of the school near a bathroom while morning classes were in session. Other students witnessed the shooting but were not injured. The SRO responded and the student surrendered without force. School was locked down and students were dismissed to parents. The shooter's father said the gun had been taken from his bedroom without permission. Father said that his son was attempting ""suicide by cop"" and this was a cry for help. Father said: ""It's the first year of middle school. He didn't keep in contact with friends from elementary school. The COVID. These kids are getting depressed. They have no friends. They don't know what to do. They're sitting on their computers. It's starting to fry their brains.""",Suicide/Attempted,Random Shooting,No,No,No,No,null,No,No,null,null,No
20210311OHCIC,https://local12.com/news/local/car-with-bullet-holes-stopped-in-front-of-west-end-charter-school https://www.fox19.com/2021/03/11/car-with-bullet-holes-found-outside-west-end-school/,2,,3,11/03/2021,Spring,Cincinnati College Preparatory Academy,Cincinnati,OH,K-12,Front of School,Outside on School Property,Yes,School Start,08:00:00,Person in vehicle shot and crashed in front of school,An adult male in a vehicle was shot and the vehicle crashed into the sidewalk and sign in front of the school. No information on the motive. Shooter fled. No students or staff involved or injured.,,Victims Targeted,,No,No,No,No,No,,No,,No
20210216NCTHS,https://www.wsicweb.com/wsicnews/icso-incident-on-iss-school-bus-today/ https://statesville.com/news/local/sheriff-girl-shot-with-pellet-gun-on-school-bus-two-boys-to-be-charged/article_1768a500-7096-11eb-9ee0-fb706446405e.html https://patch.com/north-carolina/mooresville/two-face-charges-after-student-shot-pellet-gun-bus https://www.wbtv.com/2021/02/16/two-children-charged-after-elementary-school-student-shot-by-pellet-gun-school-bus/,4,Local,4,16/02/2021,Winter,Third Creek Elementary School,Statesville,NC,Elementary,School Bus,School Bus,Yes,School Start,08:00:00,Student shot another student with a pellet gun on the school bus,Two male students had a pellet gun on the school bus. One of the students fired the pellet gun at a female student. She notified the school bus driver who then notified the school. The SRO detained the students when they arrived and found the weapon. Both male students were charged and referred to juvenile court.,,,Yes,No,No,No,No,No,No,No,1,No
20210127MSHAH,https://www.wapt.com/article/hattiesburg-police-shooting-near-high-school-under-investigation/35340013# https://www.hattiesburgamerican.com/story/news/local/hattiesburg/2021/02/11/hattiesburg-officers-shooting-armed-teen-injured/6723198002/,2,Local,4,27/01/2021,Winter,Hattiesburg High School,Hattiesburg,MS,High,Off School Property,School Bus,Yes,School Start,08:00:00,Teen pointed gun at school bus and then fired shots into the air near the school,"During a 21 minute time period, multiple people called 911 to report a teen with a gun near the school. At 7:43 AM, the 14-year-old male pointed the gun at a school bus and then fired shots into the air near the school. When police officers arrived at 7:50 AM, the teen pointed the weapon at officers and said he was going to shoot them. At 7:51 AM, the officers fired multiple shots and wounded the shooter. He was taken to the hospital, treated, and recovered from injuries. The shooting was recorded on body cameras worn by the officers. Motive unknown.",,Random Shooting,No,No,No,Yes,No,No,No,,,No
20200916WAARG,https://www.kiro7.com/news/local/man-injured-gig-harbor-shooting/AMXZMA2TLZC53LAN53PMT5GNAE/,3,Local,3,15/09/2020,Fall,Artondale Elementary School,Gig Harbor,WA,Elementary,Beside Building,Outside on School Property,No,Evening,08:30:00,Neighbor shot man stealing construction materials from the school,"A homeowner near the school approached a man who was stealing construction materials from the school. The man had a baton, brass knuckles, and illegal drugs. The homeowner felt threatened and shot the man once then provided first aid and notified police. The homeowner who fired the shot was not arrested. The victim had an arrest warrant for another crime.",Illegal Activity,Victims Targeted,No,No,No,No,No,No,No,No,,No
20200903GADOA,https://www.walb.com/2020/09/03/homicide-investigation-underway-dougherty-high-school/ https://wfxl.com/news/local/death-investigation-underway-at-dougherty-comprehensive-high-school,2,Local,3,03/09/2020,Fall,Dougherty Comprehensive High School,Albany,GA,High,Parking Lot,Outside on School Property,No,Not a School Day,08:15:00,18 year-old found shot and killed in vehicle in school parking lot,18 year-old male was found shot and killed in the school parking lot. Death is being investigated as a homicide. School was closed due to COVID-19. No suspect or motive released.,,Victims Targeted,,No,No,No,No,No,,No,,No
20200310PASHN,https://www.wfmj.com/story/43620249/new-castle-man-awaits-sentencing-for-shooting-into-shenango-school-van https://www.ncnewsonline.com/news/local_news/man-who-shot-at-school-van-pleads-guilty/article_201eb8dc-8e90-5807-9b51-494b8d934485.html https://www.ncnewsonline.com/news/update-shenango-school-van-struck-by-bullet-one-in-custody/article_cdb90098-62d2-11ea-81b6-cf7f408fb362.html https://www.wpxi.com/news/top-stories/man-wearing-camo-suspected-shooting-school-van-woods-shenango-twp/R4K2OBISFFHM3D77SJ3BANFQOI/,5,Local,5,10/03/2020,Spring,Shenango Area Schools (bus),New Castle,PA,Elementary,School Bus,School Bus,Yes,School Start,08:43:00,Adult male fired shot breaking two windows of school van with elementary school students abroad,"41YOM fired rifle at school van (7 students inside) traveling along highway. Bullet broke window, traveled across van, and broke a second window on the opposite side. 15 bullets struck different parts of the school bus. None of the students were injured. Shooter was arrested by police hiding in a wooded area with a .22 rifle and .22 pistol. Benetas was dressed in a woodland camouflage ghillie suit, commonly used by military personnel for concealment evasion, overalls, gloves, a camo boonie hat, camo facemask and two tactical magazine pouches. Police said they found .22-caliber long rifle with a suppressor lying on the ground next to him. The rifle had a targeting scope and “bumpfire” buttstock, a device that allows a semiautomatic firearm to fire more than one shot with a single pull of the trigger. Officers also found a .22-caliber Walther PPK semi automatic handgun with eight live rounds in the magazine in a shoulder holster on Benetas.",Indiscriminate Shooting,null,No,No,No,No,No,No,No,No,1,No
20200212MOJOF,https://www.ksdk.com/article/news/crime/man-pleads-guilty-pointing-loaded-gun-students-ferguson-florissant/63-a81916ef-aacd-4fa5-8b74-3fb6ed1c833c https://www.kmov.com/news/dad-accused-of-forcing-his-way-on-school-bus-with/article_9905e14e-4e10-11ea-bc76-6b2f685351e4.html https://fox2now.com/2020/02/12/ferguson-florissant-district-administrators-respond-after-parent-pulls-gun-on-school-bus/,null,Local,4,12/02/2020,Winter,Johnson-Wabash Elementary School,Ferguson,MO,Elementary,School Bus,School Bus,Yes,School Start,08:00:00,Father pointed gun at students on school bus following fight between students,,Escalation of Dispute,Victims Targeted,No,No,No,No,null,No,No,No,0,No
20191216CTCAN,https://whdh.com/news/police-man-shot-outside-school-bullet-hits-classroom-in-connecticut/ https://www.wral.com/police-man-shot-outside-school-bullet-hits-classroom/18836915/ https://www.newhavenindependent.org/index.php/archives/entry/lockdown_shooting/,,,4,16/12/2019,Winter,Catholic Academy of New Haven,New Haven,CT,K-8,Beside Building,Outside on School Property,Yes,School Start,09:00:00,"Adult dropping child off shot in targeted shooting, 7 bullets hit school building",Adult caregiver was shot multiple times while dropping child off at school. 10 shots fired. 7 hit school building and 1 entered occupied classroom with students inside. Caregiver had been recently released from prison and had gang affiliation. Unknown shooter fled the area. School placed on lockdown and additional police patrol assigned.,Drive-by Shooting,Victims Targeted,No,No,No,No,No,No,Yes,No,10,No
20191210ALDED,https://www.waaytv.com/content/news/School-officials-want-to-see-laws-changed-after-gun-was-shot-in-school-parking-lot-566111331.html https://www.waaytv.com/content/news/Police-investigating-report-of-shots-fired-at-Decatur-High-School--566036621.html https://whnt.com/2019/12/10/man-arrested-for-shooting-after-gun-fired-on-decatur-high-school-grounds/,,,4,10/12/2019,Winter,Decatur High School,Decatur,AL,High,Parking Lot,Outside on School Property,Yes,School Start,08:20:00,Man fired shots into the air in the school parking lot following dispute with girlfriend,20YOM fired multiple shots into the air during a dispute with his ex-girlfriend (current student) then fled the campus.,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,No,No,Yes,No,No,<10,No
20191125ILCAC,https://abc7chicago.com/1-shot-outside-school-in-austin/5717900/,,,3,25/11/2019,Fall,Catalyst Circle Rock Charter School,Chicago,IL,Elementary,Front of School,Both Inside/Outside,Yes,School Start,08:00:00,"37 YOM shot outside of school while students were outside, went into school for assistance",37YOM in vehicle was shot outside of school while students were arriving. Students and teachers took cover. School was locked down. Shooting victim went into school for assistance. Shooter fled in vehicle.,Unknown,Victims Targeted,,No,No,No,No,No,,No,6,No
20191113CAESL,https://abc7.com/1-dead-after-deputy-involved-shooting-at-east-los-angeles-high-school/5694740/ https://losangeles.cbslocal.com/2019/11/13/suspect-shot-by-deputies-near-east-la-school/,,,4,13/11/2019,Fall,Esteban Torres High School,Los Angeles,CA,High,Courtyard,Outside on School Property,Yes,Morning Classes,09:00:00,Officer shot and killed suspect with sword in outdoor lunch area of school campus,Suspect with sword was involved with domestic dispute at residence 1 mile away from the school. Suspect ran from the residence and ended up on the school campus in an outdoor lunch area. Suspect threatened police officers with a 3 foot sword and was shot/killed by officers. School was locked down. Students inside heard gunshots and called parents to tell them about a shooting in the school. No students or school staff injured.,Self-defense,NA,No,No,N/A,Yes,N/A,N/A,N/A,N/A,,N/A
20191022CARIS,https://www.pressdemocrat.com/article/news/ridgway-high-school-shooter-sentenced-to-2-years-in-sonoma-county-custody/?artslide=0 https://sanfrancisco.cbslocal.com/2019/10/22/campus-shooting-places-schools-on-lockdown-in-santa-rosa/ https://time.com/5707436/santa-rosa-ridgway-high-school-shooting/ https://www.cbsnews.com/news/school-shooting-california-santa-rosa-gunman-arrested-school-today-2019-10-22/,10,Local,4,22/10/2019,Fall,Ridgway High School,Santa Rosa,CA,High,Beside Building,Outside on School Property,Yes,Morning Classes,08:56:00,"Student shot another student following argument outside of school building, gave gun to driver in a car, and then returned to class in the school building",,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,Yes,No,4,No
20190827NYROR,https://patch.com/new-york/merrick/shooting-long-island-school-causes-lockdown,,,3,27/08/2019,Summer,Roosevelt High School,Roosevelt,NY,High,Field (General),Outside on School Property,No,Not a School Day,09:00:00,Man fired 3 shots into the ground during dispute the school staff about landscaping,Adult male fired 3 shots into the ground during dispute with school custodial staff about landscaping. Shooter then fled the scene to his nearby home where he was involved with a barricade situation until surrendering to law enforcement. School was not in-session but 100 students and 40 staff were inside the school at the time of the shooting for athletics. School was placed on lockdown following shooting and during barricade.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,3,No
20190313FLLAO,https://www.orlandosentinel.com/news/breaking-news/os-ne-lake-mary-lockdown-code-red-20190313-story.html,,,4,13/03/2019,Spring,Lake Mary High School,Orlando,FL,High,Auditorium,Inside School Building,Yes,Morning Classes,08:00:00,Student asked to leave classroom and commit suicide in school auditorium,"17YOF asked to go to the bathroom. About 10 minutes later, a gun shot was heard and her body was found by the school security officer and nurse in the school auditorium. School was locked down for 30 minutes then dismissed 2 hours later. Classes cancelled the following day.",Suicide/Attempted,Victims Targeted,No,No,No,No,,No,No,No,1,No
20190125TNMAM,http://www.wmcactionnews5.com/2019/01/26/teens-arrested-charged-major-crime-spree-involving-carjacking-high-school-bus-shooting/ http://www.wmcactionnews5.com/2019/01/25/shots-fired-front-manassas-high-school/,,,3,25/01/2019,Winter,Manassas High School,Memphis,TN,High,Front of School,Outside on School Property,Yes,School Start,08:25:00,Shots fired at bus in school parking lot by 5 teens in stolen car.,"Shot were fired breaking windows of a school bus in the school parking lot at the start of the school day. School was locked down. Shot were fired by 5 teens in a stolen car. Teens were also involved in carjacking, fired at bystander, and firing at police officer. Two realistic BB guns were recovered from vehicle. Four teens were arrested, one was charged with prior homicide.",Drive-by Shooting,,Yes,No,No,No,No,No,,No,<10,No
20181213INDER,https://www.cnn.com/2018/12/13/us/richmond-indiana-active-shooter-school/index.html https://www.cbsnews.com/news/richmond-indiana-school-shooting-woman-says-suspect-threatened-father/ https://www.theindychannel.com/news/call-6-investigators/call-6-richmond-school-shooter-had-rifle-handgun-explosives https://www.theindychannel.com/news/call-6-investigators/call-6-richmond-school-shooter-got-guns-from-gun-cabinet-in-his-home https://www.daytondailynews.com/news/local/investigation-into-shooting-richmond-intermediate-complete/pzQi7yU9RiduA7lLfXQKSO/ https://www.wndu.com/content/news/Indiana-police-release-new-details-about-school-shooting-508072851.html https://www.pal-item.com/story/news/crime/2019/04/02/indiana-state-police-shed-new-light-dennis-school-shooting-incident/3341861002/ https://cbs4indy.com/news/police-dennis-intermediate-shooter-had-plan-of-action-wanted-to-cause-maximum-damage/,11-100,National,4,13/12/2018,Winter,Dennis Intermediate School,Richmond,IN,Middle,Hallway,Inside School Building,Yes,Morning Classes,08:00:00,14YOM planned attack on the school but was confronted by police on-scene thanks to a tip,"14YOM, former student of a school in the district, planned to shoot up the school. Police were tipped off and schools in the area were put in lockdown before shooter and police arrived. Police went straight to the school and found suspect who allegedly shot out the glass of a locked entry door to the gain entry. Shooter shot fatally himself shortly after he was engaged by police. An Indiana State Police spokesman says a 14 year-old boy who exchanged gunfire with officers at an eastern Indiana middle school before taking his own life. He was armed with a rifle, a semi-automatic pistol, and materials that could be used to make Molotov cocktails. Extensive planning documents found by police. Intended to kill as many students as possible.



Mother is charged with 6 felonies. (https://www.aol.com/article/news/2019/10/21/mary-york-school-shooter-mom-dennis-intermediate-school-felony-14 year-old/23843900/)",Indiscriminate Shooting,,No,No,No,No,Yes,No,No,Yes,,Yes
20181121MIPEP,https://www.mlive.com/news/muskegon/index.ssf/2018/11/man_suspected_of_shooting_out.html,,,3,21/11/2018,Fall,Pentwater Public School,Pentwater,MI,K-8,Front of School,Outside on School Property,No,Not a School Day,08:45:00,Adult male fired BB gun and broke multiple windows at the school,"22YOM fired BB gun at multiple windows of the school causing $3,000 in property damage. Motive unknown. School was not in session for Thanksgiving break.",Intentional Property Damage,Neither,No,No,No,No,No,No,No,No,,No
